Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,Age,Total_Children,Customer_For_Years
Graduation,Divorced,84835.0,0,0,0,189,75,379,100,65,125,1,4,4,6,1,1,0,56,0,12
Graduation,Single,57091.0,0,0,0,464,5,64,0,0,37,1,7,3,7,5,1,0,65,0,12
Graduation,Married,67267.0,0,1,0,134,11,59,15,2,30,1,3,2,5,2,0,0,66,1,12
Graduation,Married,32474.0,1,1,0,0,0,0,0,0,0,1,1,0,2,7,0,0,59,2,12
Graduation,Single,21474.0,1,0,0,0,16,24,11,0,34,2,3,1,2,7,1,0,37,1,12
PhD,Single,71691.0,0,0,0,336,75,411,100,32,43,1,4,7,5,2,1,0,66,0,12
Master,Married,63564.0,0,0,0,500,75,252,15,34,65,1,10,10,7,6,1,0,66,0,12
Graduation,Married,44931.0,0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,59,1,12
PhD,Married,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,66,1,12
Master,Married,81044.0,0,0,0,450,26,500,73,65,26,1,5,6,10,1,0,0,66,0,13
Master,Married,62499.0,1,0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,47,1,13
PhD,Single,67786.0,0,0,0,431,75,441,80,20,102,1,3,6,6,1,1,0,66,0,13
Graduation,Married,26872.0,0,0,0,0,10,0,0,16,32,1,1,1,2,6,0,0,45,0,13
Graduation,Married,4428.0,0,1,0,16,4,12,0,4,125,0,25,0,0,1,0,0,57,1,13
Graduation,Married,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,0,0,49,2,13
Graduation,Married,54809.0,1,1,0,63,6,57,13,13,22,4,2,1,5,4,1,0,49,2,13
PhD,Divorced,32173.0,0,1,0,18,0,0,0,0,2,1,1,0,3,4,0,0,66,1,13
Master,Single,47823.0,0,1,0,53,1,0,0,1,10,2,2,0,3,8,0,0,66,1,13
Master,Single,30523.0,2,1,0,0,0,0,0,0,5,1,1,0,2,7,0,0,66,3,13
Master,Married,36634.0,0,1,0,213,9,76,0,3,30,3,5,2,5,7,0,0,66,1,13
Master,Single,43456.0,0,1,0,275,11,68,25,7,7,3,5,1,8,5,0,0,60,1,13
Master,Married,40662.0,1,0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,47,1,13
PhD,Married,49544.0,1,0,0,308,0,73,0,0,23,2,5,1,8,7,0,0,50,1,13
Graduation,Single,57731.0,0,1,0,266,21,300,65,8,44,4,8,8,6,6,0,0,57,1,14
Master,Single,33168.0,0,1,0,80,1,37,0,1,3,3,2,1,4,7,0,0,61,1,14
Graduation,Married,54450.0,1,1,0,454,0,171,0,19,32,12,9,2,8,8,0,0,66,2,14
PhD,Single,35340.0,1,1,1,27,0,12,0,1,5,2,2,0,3,5,0,0,66,2,12
Graduation,Single,73170.0,0,0,1,184,75,256,50,30,32,1,5,4,6,2,0,0,51,0,12
PhD,Divorced,65808.0,1,1,1,155,7,80,13,7,10,3,5,1,5,6,0,0,55,2,12
Graduation,Married,79529.0,0,0,1,423,42,500,73,65,125,1,4,8,9,2,0,0,40,0,12
PhD,Married,34578.0,2,1,1,0,0,0,0,0,0,1,1,0,2,6,0,0,54,3,12
PhD,Married,46374.0,0,1,1,408,0,21,0,0,17,3,7,1,7,8,1,0,52,1,12
Graduation,Married,18351.0,0,0,1,0,12,0,0,14,7,1,2,0,3,7,0,0,36,0,13
PhD,Single,95169.0,0,0,1,500,21,449,100,20,20,1,4,3,4,1,1,0,39,0,13
Master,Married,65370.0,0,0,1,71,22,112,100,65,29,1,2,3,13,1,0,0,42,0,13
Master,Divorced,39228.0,0,0,1,0,1,0,0,3,3,1,0,0,3,4,0,0,66,0,13
PhD,Single,84865.0,0,0,1,500,16,349,43,16,16,1,2,4,9,4,1,0,65,0,13
Graduation,Married,61314.0,0,1,1,378,0,189,97,65,125,2,5,5,12,3,0,0,58,1,13
Graduation,Single,21359.0,1,0,1,0,2,17,0,1,10,2,2,0,3,8,1,0,54,1,13
PhD,Married,66465.0,0,1,1,500,0,204,38,29,14,3,11,9,12,6,0,0,66,1,13
Master,Single,81698.0,0,0,1,500,45,115,30,65,45,1,8,2,5,5,1,0,43,0,13
Graduation,Single,39146.0,1,0,1,94,1,33,13,12,12,3,4,0,4,8,0,0,40,1,13
Master,Divorced,25959.0,1,1,1,0,2,12,0,5,26,2,1,2,2,6,1,0,56,2,13
Graduation,Married,64260.0,0,0,1,500,75,500,20,0,30,1,4,5,4,3,1,0,65,0,13
Graduation,Married,32300.0,1,0,1,0,3,0,0,5,6,1,1,0,3,8,0,0,53,1,13
Master,Married,74806.0,0,1,1,500,9,249,0,28,9,2,5,4,5,4,0,0,61,1,14
Graduation,Divorced,72967.0,0,1,1,158,35,179,0,0,125,2,7,2,8,5,1,0,56,1,14
Graduation,Single,48904.0,0,1,1,283,10,38,0,13,27,4,7,2,4,8,0,0,66,1,14
Master,Married,14796.0,1,0,1,0,3,0,0,4,16,2,1,0,3,9,1,0,42,1,14
Master,Married,66991.0,0,0,1,496,36,460,100,60,12,3,4,8,6,3,0,0,66,0,14
Master,Single,52195.0,2,1,2,0,0,0,0,0,1,1,1,0,2,8,0,0,48,3,12
Graduation,Married,90369.0,0,0,2,292,51,500,100,23,17,1,4,6,6,1,1,0,66,0,12
Basic,Married,18393.0,1,0,2,0,10,13,16,0,4,2,3,0,3,8,0,0,52,1,12
Graduation,Single,47139.0,1,1,2,46,0,12,0,2,23,2,2,1,2,7,1,0,66,2,12
Master,Married,38576.0,0,1,2,34,0,0,0,0,0,1,1,0,3,7,0,0,53,1,12
PhD,Married,61905.0,0,1,2,167,0,43,0,2,13,2,4,2,4,5,0,0,51,1,12
Graduation,Married,83715.0,0,0,2,318,8,407,100,35,8,1,2,8,13,0,0,0,64,0,12
Graduation,Married,60597.0,0,1,2,500,0,257,32,16,66,4,2,2,8,7,1,0,62,1,12
Master,Single,6560.0,0,0,2,67,11,26,0,3,125,0,1,0,1,17,0,0,44,0,13
Master,Married,48330.0,0,1,2,28,0,0,0,0,0,1,1,0,3,5,0,0,65,1,13
PhD,Single,38236.0,1,1,2,58,0,18,0,0,10,4,3,0,4,7,0,0,58,2,13
Master,Married,22701.0,1,0,2,0,4,0,0,4,5,1,1,0,3,5,0,0,49,1,13
Master,Divorced,53367.0,1,1,2,229,7,140,10,3,11,7,5,1,8,7,1,0,52,2,13
Graduation,Married,34728.0,1,0,2,0,0,16,0,0,6,1,1,1,2,6,1,0,40,1,13
Master,Married,63915.0,0,2,2,500,7,115,30,0,15,2,6,3,12,5,0,0,66,2,13
Master,Married,82504.0,0,0,2,362,50,431,100,35,54,1,3,6,7,1,0,0,66,0,13
PhD,Single,38578.0,1,1,2,38,4,22,0,3,3,3,3,0,3,8,1,0,54,2,13
PhD,Single,38578.0,1,1,2,38,4,22,0,3,3,3,3,0,3,8,0,0,54,2,13
PhD,Married,79174.0,0,0,2,500,37,500,100,65,125,1,5,6,7,2,1,0,51,0,13
Master,Divorced,81975.0,0,1,2,500,75,184,100,65,27,1,6,3,4,7,0,0,64,1,13
Master,Married,43263.0,0,1,2,262,6,61,0,10,102,3,5,2,6,5,0,0,49,1,14
Graduation,Single,27242.0,1,0,2,0,17,26,20,1,39,2,2,0,3,9,1,0,56,1,14
Graduation,Married,76445.0,1,0,2,500,75,309,100,65,35,1,2,5,13,6,0,0,55,1,14
Graduation,Married,75276.0,0,0,2,500,75,125,100,42,21,1,9,4,9,5,0,0,61,0,14
Graduation,Single,34213.0,1,1,2,50,4,28,0,3,26,3,3,1,2,9,1,0,63,2,14
PhD,Married,72335.0,0,0,2,500,75,500,28,21,0,1,10,4,8,8,1,0,50,0,14
Master,Married,79143.0,0,0,2,500,37,500,27,65,32,1,6,9,13,3,0,0,62,0,14
Graduation,Married,27469.0,0,0,2,0,1,0,0,2,0,1,0,0,3,6,0,0,66,0,14
Graduation,Married,68695.0,0,0,3,458,75,356,100,50,40,1,4,4,7,2,0,0,57,0,12
Graduation,Single,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,1,0,66,1,12
PhD,Married,77622.0,0,2,3,500,7,154,19,0,14,2,6,3,11,3,0,0,56,2,12
Graduation,Divorced,46102.0,2,1,3,0,0,0,0,0,1,1,1,0,2,7,0,0,64,3,12
Master,Single,31859.0,1,0,3,0,4,0,15,8,11,1,1,0,3,7,0,0,46,1,12
Master,Single,23830.0,0,0,3,0,8,0,0,8,16,1,1,0,3,7,0,0,39,0,12
Graduation,Married,24639.0,1,1,3,20,3,16,0,4,1,3,2,0,4,6,0,0,53,2,12
PhD,Married,71604.0,0,0,3,345,53,500,98,65,97,1,8,3,5,4,1,0,66,0,13
Graduation,Married,27255.0,1,0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,42,1,13
Graduation,Married,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,49,1,13
PhD,Married,77037.0,0,1,3,463,75,333,100,53,10,1,7,7,12,3,0,0,66,1,13
Graduation,Single,24163.0,1,1,3,0,1,0,0,1,2,2,1,0,3,4,0,0,56,2,13
PhD,Married,69476.0,0,0,3,260,75,500,63,9,67,1,4,6,4,2,0,0,57,0,13
Graduation,Married,72063.0,0,1,3,180,32,348,76,32,90,2,5,2,12,2,0,0,47,1,13
Master,Married,58646.0,0,1,3,62,1,44,0,5,22,1,2,1,4,4,0,0,64,1,13
Master,Single,47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,1,0,66,2,13
Graduation,Married,80011.0,0,1,3,421,75,500,82,65,102,2,8,6,5,4,0,0,46,1,13
PhD,Single,54998.0,0,1,3,154,22,202,39,30,8,5,4,2,9,4,1,0,66,1,13
PhD,Single,60200.0,0,1,3,500,19,132,0,6,26,6,6,2,11,6,0,0,66,1,13
Graduation,Married,63211.0,0,0,3,145,75,459,100,26,125,2,3,8,7,2,1,0,44,0,14
PhD,Single,48432.0,0,1,3,322,3,50,0,3,42,5,7,1,6,8,1,0,53,1,14
PhD,Single,48432.0,0,1,3,322,3,50,0,3,42,5,7,1,6,8,0,0,53,1,14
Master,Married,62845.0,1,1,3,500,0,45,0,0,34,11,3,4,10,8,0,0,66,2,14
Master,Married,62845.0,1,1,3,500,0,45,0,0,34,11,3,4,10,8,1,0,66,2,14
PhD,Married,65220.0,0,0,3,500,63,292,0,25,12,4,8,4,7,6,1,0,61,0,14
PhD,Married,74214.0,0,0,3,500,75,500,86,65,33,1,8,2,5,5,0,0,36,0,14
Master,Married,96547.0,0,0,4,448,21,125,52,65,62,0,7,6,8,2,1,0,46,0,12
Graduation,Married,53863.0,0,1,4,399,4,30,0,4,30,3,7,1,7,7,0,0,66,1,12
Graduation,Married,50447.0,2,0,4,85,7,24,0,3,27,1,3,1,3,6,0,0,56,2,12
Graduation,Married,37716.0,0,1,4,97,1,41,0,2,41,2,4,1,3,7,0,0,66,1,12
Graduation,Married,45203.0,2,0,4,35,3,67,10,8,24,1,3,1,3,6,1,0,44,2,12
Master,Married,37368.0,1,0,4,0,2,11,0,2,10,1,1,0,2,6,0,0,51,1,13
Graduation,Married,67225.0,0,1,4,315,35,322,46,7,125,3,7,2,11,5,0,0,66,1,13
Master,Married,65104.0,0,1,4,500,0,232,13,20,50,2,3,5,7,7,1,0,50,1,13
Master,Married,65104.0,0,1,4,500,0,232,13,20,50,2,3,5,7,7,0,0,50,1,13
Master,Married,81698.0,0,0,4,179,28,500,100,65,47,1,3,8,13,1,1,0,66,0,13
Graduation,Single,70566.0,0,1,4,381,28,215,84,28,21,2,6,5,9,3,0,0,58,1,13
Graduation,Married,69096.0,0,1,4,247,49,159,0,65,109,1,5,2,10,4,0,0,66,1,13
Graduation,Married,71434.0,0,1,4,500,36,217,100,65,125,3,7,4,7,4,0,0,64,1,13
Graduation,Married,33039.0,1,0,4,30,8,12,0,8,12,1,2,0,4,5,0,0,48,1,13
Graduation,Married,46610.0,0,0,4,288,10,30,0,10,125,1,6,1,6,6,0,0,66,0,13
Graduation,Single,49967.0,0,1,4,212,6,69,0,12,3,3,6,1,5,7,0,0,66,1,13
Graduation,Married,53359.0,1,1,4,173,4,30,0,6,41,4,5,1,4,7,0,0,50,2,13
Master,Married,49505.0,1,1,4,500,0,100,19,0,28,9,10,2,8,8,0,0,55,2,13
Master,Married,68657.0,0,0,4,482,34,471,100,65,22,1,3,5,9,7,0,0,66,0,13
Graduation,Divorced,72071.0,0,1,4,500,69,300,100,65,125,3,5,4,8,2,0,0,66,1,13
Master,Single,59235.0,1,0,4,448,40,469,80,0,91,3,11,2,12,7,0,0,59,1,13
Graduation,Married,21994.0,0,1,4,0,0,0,0,1,3,1,0,0,3,5,0,0,66,1,14
PhD,Married,52247.0,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,66,3,14
Graduation,Married,69209.0,0,0,4,496,32,500,100,48,125,2,5,3,6,4,0,0,54,0,14
Graduation,Married,31928.0,1,0,5,33,4,24,0,2,5,2,3,0,4,7,0,0,37,1,12
PhD,Single,74004.0,0,0,5,500,48,500,42,65,48,1,4,6,4,3,1,0,39,0,12
Master,Married,30390.0,0,0,5,0,12,12,25,1,20,1,2,0,3,6,0,0,39,0,13
Graduation,Married,21355.0,1,0,5,0,13,14,0,5,31,2,2,1,2,6,1,0,41,1,13
Graduation,Married,26304.0,1,0,5,0,1,0,0,0,4,1,1,0,2,7,0,0,57,1,13
Master,Married,85710.0,0,0,5,500,20,350,29,30,33,1,6,9,10,2,0,0,37,0,13
Graduation,Single,58350.0,0,1,5,493,26,206,100,65,80,4,8,3,12,6,0,0,55,1,13
Graduation,Single,7500.0,1,1,5,0,5,0,13,4,25,4,2,1,3,6,0,0,48,2,14
Master,Single,18890.0,0,0,5,0,4,0,0,2,15,1,0,1,2,6,1,0,42,0,14
Basic,Married,20425.0,1,0,5,0,12,0,0,16,17,2,2,0,3,7,0,0,40,1,14
PhD,Divorced,41437.0,1,1,5,29,0,0,0,0,1,1,1,0,3,7,0,0,66,2,14
Master,Married,49912.0,0,1,5,500,8,223,32,49,42,4,10,5,7,8,1,0,66,1,14
Graduation,Married,79823.0,0,1,6,500,73,380,100,65,43,1,6,9,7,2,0,0,66,1,12
Graduation,Divorced,85683.0,0,0,6,500,17,311,45,65,51,1,2,4,10,1,1,0,66,0,12
PhD,Divorced,47025.0,1,1,6,16,0,0,0,0,1,1,1,0,2,7,0,0,61,2,12
PhD,Married,68397.0,0,1,6,500,75,466,17,13,80,1,6,9,5,3,0,0,50,1,13
